"","Q1","Q2","Q3","Q4","Q5","Province"
"1","1","BlocQbc","Wrong","1","Other","Nova Scotia"
"2","1","BlocQbc","Wrong","2","Liberal","British Columbia"
"3","1","Liberal","Wrong","3","Liberal","Alberta"
"4","1","Conservative","Right","4","ndp","Ontario"
"5","1","Conservative","Right","4","Liberal","Ontario"
"6","1","Liberal","Right","2","Other","British Columbia"
"7","1","Liberal","Unsure","5","Conservative","British Columbia"
"8","1","Liberal","Right","3","Conservative","Ontario"
"9","1","Liberal","Right","3","Liberal","Ontario"
"10","1","Conservative","Right","5","Conservative","British Columbia"
"11","1","Liberal","Right","1","Liberal","Ontario"
"12","1","Liberal","Right","1","Liberal","Ontario"
"13","1","Conservative","Unsure","4","Conservative","Alberta"
"14","1","Conservative","Unsure","1","Conservative","British Columbia"
"15","1","Liberal","Unsure","4","Conservative","Ontario"
"16","1","Liberal","Unsure","1","Liberal","British Columbia"
"17","1","BlocQbc","Right","3","Conservative","Quebec"
"18","1","Conservative","Wrong","3","ndp","Alberta"
"19","1","Liberal","Standstill","5","Conservative","British Columbia"
"20","1","Conservative","Right","1","Conservative","Quebec"
"21","1","ndp","Wrong","1","Liberal","British Columbia"
"22","1","Conservative","Wrong","3","Conservative","New Brunswick"
"23","1","Liberal","Wrong","1","BlocQbc","Alberta"
"24","1","Conservative","Standstill","4","Liberal","Ontario"
"25","1","BlocQbc","Unsure","4","Liberal","British Columbia"
"26","1","Conservative","Wrong","3","ndp","Quebec"
"27","1","Liberal","Standstill","4","Conservative","Ontario"
"28","1","Liberal","Right","4","BlocQbc","Quebec"
"29","1","Green","Standstill","2","Conservative","Quebec"
"30","1","Conservative","Wrong","1","Liberal","Alberta"
"31","1","PreferNot","Wrong","4","Liberal","Quebec"
"32","1","ndp","Right","4","Liberal","Ontario"
"33","1","Conservative","Standstill","4","Liberal","Quebec"
"34","1","BlocQbc","Right","4","Liberal","Quebec"
"35","1","Other","Wrong","4","Liberal","Ontario"
"36","1","Liberal","Wrong","2","Conservative","Quebec"
"37","1","PreferNot","Wrong","5","Other","Alberta"
"38","1","Liberal","Wrong","5","Conservative","Alberta"
"39","1","Liberal","Wrong","4","ndp","Ontario"
"40","1","Liberal","Right","1","Conservative","British Columbia"
"41","1","Liberal","Wrong","5","Liberal","Ontario"
"42","0",NA,"Right","4",NA,"Quebec"
"43","1","Liberal","Wrong","4","Conservative","British Columbia"
"44","1","BlocQbc","Standstill","3","Conservative","New Brunswick"
"45","1","BlocQbc","Right","3","BlocQbc","Ontario"
"46","1","Liberal","Right","5","Liberal","British Columbia"
"47","1","Conservative","Right","2","Conservative","Quebec"
"48","1","ndp","Unsure","2","Liberal","Ontario"
"49","1","Green","Right","1","Conservative","Quebec"
"50","1","Conservative","Right","4","Liberal","Saskatchewan"
"51","1","ndp","Wrong","2","Conservative","Ontario"
"52","1","Conservative","Right","2","Liberal","Quebec"
"53","1","Conservative","Standstill","1","Conservative","British Columbia"
"54","1","BlocQbc","Standstill","1","Liberal","Ontario"
"55","1","Liberal","Wrong","2","Liberal","Quebec"
"56","0",NA,"Right","5",NA,"Alberta"
"57","1","Liberal","Standstill","5","Liberal","Ontario"
"58","1","Liberal","Wrong","3","Liberal","Ontario"
"59","1","BlocQbc","Wrong","4","Liberal","Quebec"
"60","1","Liberal","Right","5","BlocQbc","Quebec"
"61","0",NA,"Right","4",NA,"British Columbia"
"62","1","ndp","Right","5","Liberal","Quebec"
"63","1","Conservative","Wrong","3","Conservative","Ontario"
"64","1","Liberal","Wrong","5","Liberal","Quebec"
"65","1","Conservative","Standstill","4","ndp","Ontario"
"66","1","BlocQbc","Standstill","2","Liberal","Ontario"
"67","1","Liberal","Standstill","1","ndp","Ontario"
"68","1","Liberal","Standstill","5","Conservative","Ontario"
"69","0",NA,"Wrong","3",NA,"Quebec"
"70","1","BlocQbc","Standstill","4","BlocQbc","Newfoundland and Labrador"
"71","1","Conservative","Wrong","4","Other","Quebec"
"72","1","Liberal","Unsure","2","Conservative","Nova Scotia"
"73","0",NA,"Standstill","1",NA,"Ontario"
"74","1","Liberal","Right","4","Conservative","Ontario"
"75","0",NA,"Right","5",NA,"Ontario"
"76","1","Conservative","Wrong","2","BlocQbc","British Columbia"
"77","0",NA,"Wrong","1",NA,"Ontario"
"78","1","Conservative","Wrong","4","Conservative","Alberta"
"79","1","ndp","Wrong","1","Liberal","Quebec"
"80","1","Conservative","Wrong","4","Liberal","British Columbia"
"81","1","Liberal","Wrong","3","ndp","Ontario"
